emoji-symbol,meaning,meaning-indo,emoji-unicode,emoji-name,emoji-name-indo
😄,smiley,tersenyum,ðŸ˜„,grinning face with smiling eyes,wajah menyeringai dengan mata tersenyum
😃,smiley,tersenyum,ðŸ˜ƒ,grinning face with big eyes,wajah menyeringai dengan mata besar
😀,smiley,tersenyum,ðŸ˜€,grinning face,wajah menyeringai
😊,smiley,tersenyum,ðŸ˜Š,smiling face with smiling eyes,wajah tersenyum dengan mata tersenyum
🙂,blush,memerah,â˜ºï¸,slightly smiling face,Wajah yang sedikit tersenyum
😉,wink,mengedip,ðŸ˜‰,winking face,wajah mengedipkan mata
😍,loveeyes,mata cinta,ðŸ˜,smiling face with heart-eyes,wajah tersenyum dengan hati
😘,kiss,ciuman,ðŸ˜˜,face blowing a kiss,wajah meniup ciuman
😚,kiss,ciuman,ðŸ˜š,kissing face with closed eyes,mencium wajah dengan mata tertutup
😗,kiss,ciuman,ðŸ˜—,kissing face,wajah berciuman
😙,kiss,ciuman,ðŸ˜™,kissing face with smiling eyes,mencium wajah dengan mata tersenyum
😜,tongue,lidah,ðŸ˜œ,winking face with tongue,mengedipkan wajah dengan lidah
😝,tongue,lidah,ðŸ˜,squinting face with tongue,Wajah menyipit dengan lidah
😛,tongue,lidah,ðŸ˜›,face with tongue,wajah dengan lidah
😳,embarassed,malu,ðŸ˜³,flushed face,wajah memerah
😁,cheese,keju,ðŸ˜,beaming face with smiling eyes,Wajah berseri -seri dengan mata tersenyum
😔,sad,sedih,ðŸ˜”,pensive face,wajah termenung
😌,sad,sedih,ðŸ˜Œ,relieved face,wajah lega
😒,sad,sedih,ðŸ˜’,unamused face,wajah yang tidak biasa
😞,sad,sedih,ðŸ˜ž,disappointed face,wajah kecewa
😣,sad,sedih,ðŸ˜£,persevering face,wajah gigih
😢,sad,sedih,ðŸ˜¢,crying face,wajah menangis
😂,sad,sedih,ðŸ˜‚,face with tears of joy,wajah dengan air mata sukacita
😭,sad,sedih,ðŸ˜­,loudly crying face,Wajah menangis dengan keras
😪,sad,sedih,ðŸ˜ª,sleepy face,wajah mengantuk
😥,sad,sedih,ðŸ˜¥,sad but relieved face,Wajah sedih tapi lega
😰,sad,sedih,ðŸ˜°,anxious face with sweat,Wajah cemas dengan keringat
😅,sad,sedih,ðŸ˜…,grinning face with sweat,wajah menyeringai dengan keringat
😓,sad,sedih,ðŸ˜“,downcast face with sweat,Wajah Downcast dengan Keringat
😩,sad,sedih,ðŸ˜©,weary face,wajah yang lelah
😫,sad,sedih,ðŸ˜«,tired face,wajah lelah
😨,worry,khawatir,ðŸ˜¨,fearful face,wajah yang menakutkan
😨,worry,khawatir,ðŸ˜Ÿ,fearful face,wajah yang menakutkan
😟,worry,khawatir,ðŸ˜¨,worried face,wajah khawatir
😟,worry,khawatir,ðŸ˜Ÿ,worried face,wajah khawatir
😱,worry,khawatir,ðŸ˜±,face screaming in fear,wajah berteriak ketakutan
😱,worry,khawatir,ðŸ˜¦,face screaming in fear,wajah berteriak ketakutan
😦,worry,khawatir,ðŸ˜±,frowning face with open mouth,wajah mengerutkan kening dengan mulut terbuka
😦,worry,khawatir,ðŸ˜¦,frowning face with open mouth,wajah mengerutkan kening dengan mulut terbuka
😠,angry,marah,ðŸ˜,angry face,wajah marah
😡,angry,marah,ðŸ˜¡,enraged face,wajah yang marah
😤,angry,marah,ðŸ˜¤,face with steam from nose,wajah dengan uap dari hidung
😖,wince,menggerenyet,ðŸ˜–,confounded face,wajah yang dikacaukan
😆,laugh,tertawa,ðŸ˜†,grinning squinting face,Wajah menyipitkan mata yang menyeringai
😋,licklips,menjilat bibir,ðŸ˜‹,face savoring food,wajah menikmati makanan
😷,respirator,alat bantu pernapasan,ðŸ˜·,face with medical mask,Wajah dengan Topeng Medis
😎,sunglasses,kacamata hitam,ðŸ˜Ž,smiling face with sunglasses,wajah tersenyum dengan kacamata hitam
😴,Zzz,Zzz,ðŸ˜´,sleeping face,wajah tidur
😵,dead,mati,ðŸ˜µ,face with crossed-out eyes,wajah dengan mata juling
😲,dead,mati,ðŸ˜²,astonished face,Wajah Terkejut
